Winter period;;;;;Summer period;;;
Time from;Time to;Heat Demand;Electricity Price;;Time from;Time to;Heat Demand;Electricity Price
DKK local time;DKK local time;MWh;DKK / Mwh(el);;DKK local time;DKK local time;MWh;DKK / Mwh(el)
08/02/2023 00.00;08/02/2023 01.00;6,62;1190,94;;08/07/2023 00.00;08/07/2023 01.00;1,79;752,03
08/02/2023 01.00;08/02/2023 02.00;6,85;1154,55;;08/07/2023 01.00;08/07/2023 02.00;1,85;691,05
08/02/2023 02.00;08/02/2023 03.00;6,98;1116,22;;08/07/2023 02.00;08/07/2023 03.00;1,76;674,78
08/02/2023 03.00;08/02/2023 04.00;7,04;1101,12;;08/07/2023 03.00;08/07/2023 04.00;1,67;652,95
08/02/2023 04.00;08/02/2023 05.00;7,72;1086,24;;08/07/2023 04.00;08/07/2023 05.00;1,73;666,30
08/02/2023 05.00;08/02/2023 06.00;7,85;1109,53;;08/07/2023 05.00;08/07/2023 06.00;1,79;654,60
08/02/2023 06.00;08/02/2023 07.00;8,15;1307,40;;08/07/2023 06.00;08/07/2023 07.00;1,82;637,05
08/02/2023 07.00;08/02/2023 08.00;7,62;1463,30;;08/07/2023 07.00;08/07/2023 08.00;1,81;639,45
08/02/2023 08.00;08/02/2023 09.00;7,55;1608,78;;08/07/2023 08.00;08/07/2023 09.00;1,84;628,28
08/02/2023 09.00;08/02/2023 10.00;7,60;1309,70;;08/07/2023 09.00;08/07/2023 10.00;1,88;570,30
08/02/2023 10.00;08/02/2023 11.00;7,75;952,51;;08/07/2023 10.00;08/07/2023 11.00;2,00;456,75
08/02/2023 11.00;08/02/2023 12.00;7,06;882,93;;08/07/2023 11.00;08/07/2023 12.00;1,86;347,40
08/02/2023 12.00;08/02/2023 13.00;6,68;860,31;;08/07/2023 12.00;08/07/2023 13.00;1,78;264,15
08/02/2023 13.00;08/02/2023 14.00;6,73;854,88;;08/07/2023 13.00;08/07/2023 14.00;1,60;125,33
08/02/2023 14.00;08/02/2023 15.00;6,84;850,12;;08/07/2023 14.00;08/07/2023 15.00;1,57;125,48
08/02/2023 15.00;08/02/2023 16.00;7,30;933,09;;08/07/2023 15.00;08/07/2023 16.00;1,55;300,00
08/02/2023 16.00;08/02/2023 17.00;7,39;953,26;;08/07/2023 16.00;08/07/2023 17.00;1,57;456,75
08/02/2023 17.00;08/02/2023 18.00;7,68;951,10;;08/07/2023 17.00;08/07/2023 18.00;1,53;625,50
08/02/2023 18.00;08/02/2023 19.00;7,38;765,21;;08/07/2023 18.00;08/07/2023 19.00;1,52;804,75
08/02/2023 19.00;08/02/2023 20.00;7,40;716,47;;08/07/2023 19.00;08/07/2023 20.00;1,50;907,50
08/02/2023 20.00;08/02/2023 21.00;7,56;696,30;;08/07/2023 20.00;08/07/2023 21.00;1,50;965,70
08/02/2023 21.00;08/02/2023 22.00;7,69;665,34;;08/07/2023 21.00;08/07/2023 22.00;1,48;996,45
08/02/2023 22.00;08/02/2023 23.00;7,66;663,56;;08/07/2023 22.00;08/07/2023 23.00;1,51;972,90
08/02/2023 23.00;09/02/2023 00.00;7,54;636,77;;08/07/2023 23.00;09/07/2023 00.00;1,55;869,40
09/02/2023 00.00;09/02/2023 01.00;7,58;615,31;;09/07/2023 00.00;09/07/2023 01.00;1,54;820,80
09/02/2023 01.00;09/02/2023 02.00;7,68;588,89;;09/07/2023 01.00;09/07/2023 02.00;1,47;763,05
09/02/2023 02.00;09/02/2023 03.00;7,71;577,88;;09/07/2023 02.00;09/07/2023 03.00;1,41;763,65
09/02/2023 03.00;09/02/2023 04.00;7,70;577,66;;09/07/2023 03.00;09/07/2023 04.00;1,43;715,80
09/02/2023 04.00;09/02/2023 05.00;8,16;583,16;;09/07/2023 04.00;09/07/2023 05.00;1,43;718,43
09/02/2023 05.00;09/02/2023 06.00;8,45;617,99;;09/07/2023 05.00;09/07/2023 06.00;1,45;726,90
09/02/2023 06.00;09/02/2023 07.00;8,51;629,23;;09/07/2023 06.00;09/07/2023 07.00;1,47;710,10
09/02/2023 07.00;09/02/2023 08.00;7,79;689,06;;09/07/2023 07.00;09/07/2023 08.00;1,50;684,00
09/02/2023 08.00;09/02/2023 09.00;7,64;769,66;;09/07/2023 08.00;09/07/2023 09.00;1,62;646,80
09/02/2023 09.00;09/02/2023 10.00;7,71;802,85;;09/07/2023 09.00;09/07/2023 10.00;1,70;578,33
09/02/2023 10.00;09/02/2023 11.00;7,64;781,42;;09/07/2023 10.00;09/07/2023 11.00;1,74;450,90
09/02/2023 11.00;09/02/2023 12.00;6,99;716,90;;09/07/2023 11.00;09/07/2023 12.00;1,68;375,90
09/02/2023 12.00;09/02/2023 13.00;6,39;692,56;;09/07/2023 12.00;09/07/2023 13.00;1,58;342,68
09/02/2023 13.00;09/02/2023 14.00;6,22;678,35;;09/07/2023 13.00;09/07/2023 14.00;1,45;277,43
09/02/2023 14.00;09/02/2023 15.00;6,28;647,02;;09/07/2023 14.00;09/07/2023 15.00;1,43;336,38
09/02/2023 15.00;09/02/2023 16.00;6,78;645,53;;09/07/2023 15.00;09/07/2023 16.00;1,42;413,63
09/02/2023 16.00;09/02/2023 17.00;7,01;650,07;;09/07/2023 16.00;09/07/2023 17.00;1,47;547,35
09/02/2023 17.00;09/02/2023 18.00;7,18;647,16;;09/07/2023 17.00;09/07/2023 18.00;1,46;618,00
09/02/2023 18.00;09/02/2023 19.00;6,65;649,70;;09/07/2023 18.00;09/07/2023 19.00;1,50;783,08
09/02/2023 19.00;09/02/2023 20.00;6,72;638,53;;09/07/2023 19.00;09/07/2023 20.00;1,50;916,58
09/02/2023 20.00;09/02/2023 21.00;6,86;625,29;;09/07/2023 20.00;09/07/2023 21.00;1,44;990,00
09/02/2023 21.00;09/02/2023 22.00;6,83;621,34;;09/07/2023 21.00;09/07/2023 22.00;1,45;1005,75
09/02/2023 22.00;09/02/2023 23.00;6,86;624,62;;09/07/2023 22.00;09/07/2023 23.00;1,44;990,90
09/02/2023 23.00;10/02/2023 00.00;6,78;620,15;;09/07/2023 23.00;10/07/2023 00.00;1,47;897,00
10/02/2023 00.00;10/02/2023 01.00;6,80;580,99;;10/07/2023 00.00;10/07/2023 01.00;1,40;843,68
10/02/2023 01.00;10/02/2023 02.00;6,80;592,30;;10/07/2023 01.00;10/07/2023 02.00;1,32;765,00
10/02/2023 02.00;10/02/2023 03.00;6,82;622,22;;10/07/2023 02.00;10/07/2023 03.00;1,28;707,25
10/02/2023 03.00;10/02/2023 04.00;6,95;634,79;;10/07/2023 03.00;10/07/2023 04.00;1,33;689,55
10/02/2023 04.00;10/02/2023 05.00;7,73;659,87;;10/07/2023 04.00;10/07/2023 05.00;1,35;699,83
10/02/2023 05.00;10/02/2023 06.00;7,90;706,76;;10/07/2023 05.00;10/07/2023 06.00;1,35;788,55
10/02/2023 06.00;10/02/2023 07.00;8,11;795,76;;10/07/2023 06.00;10/07/2023 07.00;1,42;912,53
10/02/2023 07.00;10/02/2023 08.00;7,62;1235,88;;10/07/2023 07.00;10/07/2023 08.00;1,49;995,85
10/02/2023 08.00;10/02/2023 09.00;7,64;1310,52;;10/07/2023 08.00;10/07/2023 09.00;1,55;1007,03
10/02/2023 09.00;10/02/2023 10.00;7,44;1072,23;;10/07/2023 09.00;10/07/2023 10.00;1,58;884,63
10/02/2023 10.00;10/02/2023 11.00;7,26;847,86;;10/07/2023 10.00;10/07/2023 11.00;1,68;789,60
10/02/2023 11.00;10/02/2023 12.00;7,03;740,32;;10/07/2023 11.00;10/07/2023 12.00;1,73;712,43
10/02/2023 12.00;10/02/2023 13.00;6,77;706,46;;10/07/2023 12.00;10/07/2023 13.00;1,68;669,23
10/02/2023 13.00;10/02/2023 14.00;6,72;671,18;;10/07/2023 13.00;10/07/2023 14.00;1,62;601,20
