TimeFrom,TimeTo,HeatDemand,ElectricityPrice
02/08/2023 00:00:00,02/08/2023 01:00:00,6.62,1190.94
02/08/2023 01:00:00,02/08/2023 02:00:00,6.85,1154.55
02/08/2023 02:00:00,02/08/2023 03:00:00,6.98,1116.22
02/08/2023 03:00:00,02/08/2023 04:00:00,7.04,1101.12
02/08/2023 04:00:00,02/08/2023 05:00:00,7.72,1086.24
02/08/2023 05:00:00,02/08/2023 06:00:00,7.85,1109.53
02/08/2023 06:00:00,02/08/2023 07:00:00,8.15,1307.40
02/08/2023 07:00:00,02/08/2023 08:00:00,7.62,1463.30
02/08/2023 08:00:00,02/08/2023 09:00:00,7.55,1608.78
02/08/2023 09:00:00,02/08/2023 10:00:00,7.60,1309.70
02/08/2023 10:00:00,02/08/2023 11:00:00,7.75,952.51
02/08/2023 11:00:00,02/08/2023 12:00:00,7.06,882.93
02/08/2023 12:00:00,02/08/2023 13:00:00,6.68,860.31
02/08/2023 13:00:00,02/08/2023 14:00:00,6.73,854.88
02/08/2023 14:00:00,02/08/2023 15:00:00,6.84,850.12
02/08/2023 15:00:00,02/08/2023 16:00:00,7.30,933.09
02/08/2023 16:00:00,02/08/2023 17:00:00,7.39,953.26
02/08/2023 17:00:00,02/08/2023 18:00:00,7.68,951.10
02/08/2023 18:00:00,02/08/2023 19:00:00,7.38,765.21
02/08/2023 19:00:00,02/08/2023 20:00:00,7.40,716.47
02/08/2023 20:00:00,02/08/2023 21:00:00,7.56,696.30
02/08/2023 21:00:00,02/08/2023 22:00:00,7.69,665.34
02/08/2023 22:00:00,02/08/2023 23:00:00,7.66,663.56
02/08/2023 23:00:00,02/09/2023 00:00:00,7.54,636.77
02/09/2023 00:00:00,02/09/2023 01:00:00,7.58,615.31
02/09/2023 01:00:00,02/09/2023 02:00:00,7.68,588.89
02/09/2023 02:00:00,02/09/2023 03:00:00,7.71,577.88
02/09/2023 03:00:00,02/09/2023 04:00:00,7.70,577.66
02/09/2023 04:00:00,02/09/2023 05:00:00,8.16,583.16
02/09/2023 05:00:00,02/09/2023 06:00:00,8.45,617.99
02/09/2023 06:00:00,02/09/2023 07:00:00,8.51,629.23
02/09/2023 07:00:00,02/09/2023 08:00:00,7.79,689.06
02/09/2023 08:00:00,02/09/2023 09:00:00,7.64,769.66
02/09/2023 09:00:00,02/09/2023 10:00:00,7.71,802.85
02/09/2023 10:00:00,02/09/2023 11:00:00,7.64,781.42
02/09/2023 11:00:00,02/09/2023 12:00:00,6.99,716.90
02/09/2023 12:00:00,02/09/2023 13:00:00,6.39,692.56
02/09/2023 13:00:00,02/09/2023 14:00:00,6.22,678.35
02/09/2023 14:00:00,02/09/2023 15:00:00,6.28,647.02
02/09/2023 15:00:00,02/09/2023 16:00:00,6.78,645.53
02/09/2023 16:00:00,02/09/2023 17:00:00,7.01,650.07
02/09/2023 17:00:00,02/09/2023 18:00:00,7.18,647.16
02/09/2023 18:00:00,02/09/2023 19:00:00,6.65,649.70
02/09/2023 19:00:00,02/09/2023 20:00:00,6.72,638.53
02/09/2023 20:00:00,02/09/2023 21:00:00,6.86,625.29
02/09/2023 21:00:00,02/09/2023 22:00:00,6.83,621.34
02/09/2023 22:00:00,02/09/2023 23:00:00,6.86,624.62
02/09/2023 23:00:00,02/10/2023 00:00:00,6.78,620.15
02/10/2023 00:00:00,02/10/2023 01:00:00,6.80,580.99
02/10/2023 01:00:00,02/10/2023 02:00:00,6.80,592.30
02/10/2023 02:00:00,02/10/2023 03:00:00,6.82,622.22
02/10/2023 03:00:00,02/10/2023 04:00:00,6.95,634.79
02/10/2023 04:00:00,02/10/2023 05:00:00,7.73,659.87
02/10/2023 05:00:00,02/10/2023 06:00:00,7.90,706.76
02/10/2023 06:00:00,02/10/2023 07:00:00,8.11,795.76
02/10/2023 07:00:00,02/10/2023 08:00:00,7.62,1235.88
02/10/2023 08:00:00,02/10/2023 09:00:00,7.64,1310.52
02/10/2023 09:00:00,02/10/2023 10:00:00,7.44,1072.23
02/10/2023 10:00:00,02/10/2023 11:00:00,7.26,847.86
02/10/2023 11:00:00,02/10/2023 12:00:00,7.03,740.32
02/10/2023 12:00:00,02/10/2023 13:00:00,6.77,706.46
02/10/2023 13:00:00,02/10/2023 14:00:00,6.72,671.18
02/10/2023 14:00:00,02/10/2023 15:00:00,6.90,615.67
02/10/2023 15:00:00,02/10/2023 16:00:00,7.34,608.60
02/10/2023 16:00:00,02/10/2023 17:00:00,7.48,597.21
02/10/2023 17:00:00,02/10/2023 18:00:00,7.45,603.39
02/10/2023 18:00:00,02/10/2023 19:00:00,6.92,593.12
